,Name,Cost,Race,Generation,Health,Attack Damage,DPS,Attack Range,Attack Speed,Armor ,Magical Resistance,Skill Name,Mana Cost,Skill Description
0,Akshan,5,Sentinel;,Ranger;,900 / 1620 / 2916,75 / 135 / 243,83 / 149 / 267,1,1.1,35,35,Heroic Swing,40/100,"Passive: Akshan's attacks reduce the target's Armor by 50% for 4 seconds.

Active: Akshan launches his grappling hook and swings untargetably toward the farthest enemy, gaining Attack Speed for 4 seconds. Akshan will continue to attack the nearest enemy at double his Attack Speed while swinging.Attack Speed % : 60% / 80% / 400%"
1,Fiddlesticks,4,Abomination;Revenant;,Mystic;,800 / 1440 / 2592,60 / 108 / 194.4,45 / 81 / 146,1,0.75,40,40,Crowstorm,50/125,"After a brief channel, Fiddlesticks teleports behind his target and summons a murder of crows for 4 seconds, dealing magic damage per second to all enemies within. Enemies that die within the flock extend its duration by 1 second and heal Fiddlesticks Health.Magic Damage : 150 / 225 / 500
Percent Health Healing : 20% / 25% / 50%"
2,Galio,4,Sentinel;Draconic;,Knight;,1000 / 1800 / 3240,70 / 126 / 226.8,42 / 76 / 136,1,0.6,60,60,Shield of Durand,80/150,"Galio charges the area around him for 2 seconds, taunting all enemies within while gaining Damage Reduction. Upon releasing the charge, Galio deals magic damage to all enemies within 3 hexes and heals for 50% of the damage blocked.Magic Damage : 200 / 300 / 2000
Damage Reduction : 70% / 75% / 90%"
3,Gwen,5,Inanimate;,Mystic;,950 / 1710 / 3078,60 / 108 / 194.4,54 / 97 / 175,1,0.9,50,50,Skip 'N Slash,0/20,"Gwen dashes around her target and performs 3 rapid snips in a cone in front of her, each dealing base damage 100 / 150 / 777 plus 5% / 8% / 50% of the target’s maximum Health as magic damage. Snips steal 1 / 1 / 5 Armor and Magic resist from their target. Every other cast, Gwen will perform double the amount of snips.Magic Damage : 100 / 150 / 777
% Health as Damage : 5% / 8% / 50%
Armor and Magic Resist : 1 / 1 / 5"
4,Irelia,2,Sentinel;,Legionnaire;Skirmisher;,750 / 1350 / 2430,70 / 126 / 226.8,56 / 101 / 181,1,0.8,40,40,Defiant Dance,0/60,"Irelia surrounds herself with blades for 4 seconds and gains damage reduction, increasing by 10% each time she attacks, up to 90%. When the effect ends she strikes her target as magic damage.Magic Damage : 250 / 400 / 650
Damage Reduction : 40% / 50% / 60%"
5,Lucian,4,Sentinel;,Cannoneer;,700 / 1260 / 2268,75 / 135 / 243,56 / 101 / 182,1,0.75,25,25,The Culling,0/50,"Lucian faces the farthest enemy and fires 16 shots in that direction for 4 seconds, dashing on occasion to keep hitting enemies. Each shot hits for 50% of his Attack Damage and dealing magic damage. Lucian also fires extra shots based on his Attack Speed.Damage : 40 / 75 / 200
Attack Damage Ratio : 50% / 50% / 50%"
6,MissFortune,3,Forgotten;,Cannoneer;,700 / 1260 / 2268,55 / 99 / 178.2,44 / 79 / 143,1,0.8,25,25,Make it Rain,0/70,"Miss Fortune rains 4 waves of bullets down around her target, dealing total magic damage to enemies in the area and reducing their incoming healing by 50% for 6 seconds.Magic Damage : 250 / 400 / 750"
7,Olaf,1,Sentinel;,Skirmisher;,650 / 1170 / 2106,65 / 117 / 210.6,46 / 82 / 147,1,0.7,35,35,Berserker Rage,No cost,"Passive: Olaf gains Attack Speed for each 1% of missing health, and his attacks heal him.Attack Speed : 2% / 3% / 4%
Healing : 30 / 40 / 100"
8,Pyke,2,Sentinel;,Assassin;,650 / 1170 / 2106,50 / 90 / 162,30 / 54 / 97,1,0.6,30,30,Phantom Undertow,60/120,"Pyke leaves a phantom at his location, then dashes behind the farthest enemy. After 1 second, his phantom returns to Pyke, dealing magic damage and stunning all enemies it passes through.Damage : 150 / 225 / 325
Stun Duration : 1.5 / 2 / 2.5"
9,Rakan,3,Sentinel;,Renewer;,800 / 1440 / 2592,50 / 90 / 162,30 / 54 / 97,1,0.6,35,35,Gleaming Quill,40/80,"Rakan launches a feather toward his target, dealing magic damage to the first enemy hit. Rakan then heals all nearby allies based on their missing health, with an increased radius if the feather killed an enemy.Damage : 350 / 500 / 900
Healing : 25% / 35% / 60%"
