,name,champs,cost
0,"8 Dawnbringer
UPDATED",Gragas;Khazix;Soraka;Nidalee;Riven;Ivern;Karma;Garen;Volibear;,84
1,Dragonslayer Nightbringer,Trundle;LeeSin;Lulu;Morgana;Pantheon;Yasuo;Diana;Mordekaiser;,75
2,"6 Forgotten
NEW",Hecarim;Nautilus;Thresh;Katarina;Draven;Rell;Ryze;Viego;,78
3,"Spellweaver Cavalier
UPDATED",Kled;Brand;Hecarim;Nautilus;Sejuani;Thresh;Viktor;Rell;,51
4,"Mysterious Ranger
UPDATED",Varus;Ashe;Lulu;Lux;Aphelios;Rell;Ryze;Kindred;,84
5,"Assasin Revenant
UPDATED",Khazix;Leblanc;Katarina;Nocturne;Diana;Ivern;Viego;Volibear;,81
6,"Skirmisher Dragonslayer
NEW",Trundle;Kennen;LeeSin;Pantheon;Diana;Jax;Mordekaiser;Viego;,81
7,Redeemed Velkoz,Leona;Nautilus;Syndra;Varus;Lux;Rell;Velkoz;Kindred;,69
8,Nidalee carry,Gragas;Soraka;Nidalee;Riven;Ivern;Karma;Garen;Volibear;,81
9,"I. V. D. Value
NEW",Syndra;Lux;Ivern;Rell;Taric;Garen;Heimerdinger;Kindred;Volibear;,111
10,Revenant Dawnbringer,Gragas;Soraka;Nidalee;Riven;Ivern;Karma;Garen;Volibear;,81
11,Light Hunter,Soraka;Trundle;Nidalee;Pantheon;Riven;Diana;Mordekaiser;Garen;,78
12,"5 Abomination I. V. D.
NEW",Kalista;Brand;Nunu;Zyra;Ivern;Ryze;Heimerdinger;Kindred;Volibear;,96
13,Draconic Value,Udyr;Sett;Ashe;Zyra;Ivern;Heimerdinger;Kindred;Volibear;,84
