name,cost,health,defense,attack,attack_range,speed_of_attack,dps,skill_name,skill_cost,origin,class
gangplank,5,1000,30,60,1,1.0,60,gangplank_orbitalstrike,100/175,Space Pirate,"['Mercenary', 'Demolitionist']"
graves,1,650,35,55,1,0.55,30,graves_smokegrenade,50/80,Space Pirate,['Blaster']
neeko,3,800,35,50,2,0.65,33,neeko_popblossom,75/150,Star Guardian,['Protector']
darius,2,750,35,60,1,0.65,39,darius_spacepirateguillotine,0/60,Space Pirate,['Mana-Reaver']
rakan,2,600,35,45,2,0.7,32,rakan_grandentrance,50/100,Celestial,['Protector']
lux,3,600,20,40,4,0.7,28,lux_luridbinding,50/100,Dark Star,['Sorcerer']
rumble,3,800,35,50,1,0.7,35,rumble_flamespitter,0/60,Mech-Pilot,['Demolitionist']
leona,1,600,40,50,1,0.55,28,leona_cyberbarrier,50/100,Cybernetic,['Vanguard']
lucian,2,500,25,50,4,0.7,35,lucian_relentlesspersuit,0/35,Cybernetic,['Blaster']
lulu,5,800,25,45,3,0.8,36,lulu_masspolymorph,75/150,Celestial,['Mystic']
masteryi,3,750,30,55,1,0.8,44,masteryi_chosenone,0/55,Rebel,['Blademaster']
malphite,1,700,30,70,1,0.5,35,malphite_energyshield,-,Rebel,['Brawler']
mordekaiser,2,650,40,55,1,0.6,33,mordekaiser_indestructible,0/90,Dark Star,['Vanguard']
missfortune,5,800,20,60,4,1.0,60,missfortune_bullettime,75/175,Valkyrie,"['Mercenary', 'Blaster']"
vi,3,750,35,60,1,0.65,39,vi_assaultandbattery,70/140,Cybernetic,['Brawler']
velkoz,4,650,20,45,4,0.75,34,velkoz_lifeformdisintegrationray,0/70,Void,['Sorcerer']
blitzcrank,2,650,35,55,1,0.5,28,blitzcrank_rocketgrab,125/125,Chrono,['Brawler']
poppy,1,650,40,50,1,0.55,28,poppy_bucklertoss,60/100,Star Guardian,['Vanguard']
shaco,3,650,25,70,1,0.8,56,shaco_deceive,30/80,Dark Star,['Infiltrator']
sona,2,550,20,40,3,0.65,26,sona_ariaofperseverance,0/40,Rebel,['Mystic']
soraka,4,700,30,45,3,0.75,34,soraka_wish,50/125,Star Guardian,['Mystic']
shen,2,800,35,60,1,0.7,42,shen_futuresrefuge,100/150,Chrono,['Blademaster']
xinzhao,2,650,35,60,1,0.7,42,xinzhao_threetalonstrike,0/60,Celestial,['Protector']
syndra,3,600,20,45,4,0.7,32,syndra_unleashedpower,0/65,Star Guardian,['Sorcerer']
thresh,5,950,35,50,2,0.95,48,thresh_temporalpassage,50/85,Chrono,['Mana-Reaver']
ahri,2,600,20,45,3,0.75,34,ahri_orbofdeception,0/60,Star Guardian,['Sorcerer']
aurelionsol,5,1100,35,10,1,0.8,8,aurelionsol_mobilizethefleet,40/120,Rebel,['Starship']
annie,2,700,40,40,2,0.65,26,annie_galaxyshieldblast,75/150,Mech-Pilot,['Sorcerer']
ashe,3,600,20,60,5,0.8,48,ashe_enchantedcrystalarrow,50/125,Celestial,['Sniper']
yasuo,2,600,30,50,1,0.75,38,yasuo_lastbreath,0/100,Rebel,['Blademaster']
ekko,5,850,30,60,1,0.9,54,ekko_chronobreak,50/150,Cybernetic,['Infiltrato']
wukong,4,950,40,50,1,0.75,38,monkeyking_cyclone,50/150,Chrono,['Vanguard']
irelia,4,800,35,70,1,0.85,60,irelia_bladesurge,0/30,Cybernetic,"['Mana-Reaver', 'Blademaster']"
ezreal,3,600,20,60,3,0.7,42,ezreal_emp,50/125,Chrono,['Blaster']
jarvaniv,1,650,40,50,1,0.6,30,jarvaniv_agelessstandard,50/100,Dark Star,['Protector']
xayah,1,500,20,55,3,0.8,44,xayah_deadlyplumage,0/50,Celestial,['Blademaster']
xerath,5,750,20,60,5,0.9,54,xerath_abyssalbombardment,30/80,Dark Star,['Sorcerer']
jayce,3,750,40,60,1,0.7,42,jayce_totheskies,0/80,Space Pirate,['Vanguard']
zoe,1,500,20,40,3,0.7,28,zoe_sleepytroublebubble,70/100,Star Guardian,['Sorcerer']
ziggs,1,500,20,40,3,0.7,28,ziggs_bomb,0/45,Rebel,['Demolitionist']
jhin,4,600,20,90,5,0.9,81,jhin_whisper,-,Dark Star,['Sniper']
jinx,4,600,20,70,3,0.75,53,jinx_getexcited,-,Rebel,['Blaster']
chogath,4,1000,20,70,1,0.6,42,chogath_rupture,50/150,Void,['Brawler']
karma,3,600,20,50,3,0.65,33,karma_inspire,75/100,Dark Star,['Mystic']
kassadin,3,800,30,50,1,0.65,33,kassadin_forcepulse,40/80,Celestial,['Mana-Reaver']
kaisa,2,550,20,50,2,0.75,38,kaisa_missilerain,0/60,Valkyrie,['Infiltrator']
khazix,1,500,25,50,1,0.7,35,khazix_tastetheirfear,0/65,Void,['Infiltrator']
caitlyn,1,500,20,45,5,0.75,34,caitlyn_aceinthehole,0/125,Chrono,['Sniper']
kayle,4,700,25,60,3,0.8,48,kayle_ascend,0/60,Valkyrie,['Blademaster']
twistedfate,1,500,20,40,3,0.7,28,twistedfate_wildcards,0/75,Chrono,['Sorcerer']
fiora,1,450,30,45,1,1.0,45,fiora_reposte,0/85,Cybernetic,['Blademaster']
fizz,4,600,25,60,1,0.8,48,fizz_chumthewaters,80/150,Mech-Pilot,['Infiltrator']
